municipio_id,municipio,provincia,poblacion
706,Castell-Platja d'Aro,Cataluña,10721
707,Cantillana,Seville,10717
708,La Palma del Condado,Huelva,10710
709,Lena,Asturias,10701
710,O Grove,Pontevedra,10700
711,A Laracha,A Coruña,10683
712,Huétor Tájar,Granada,10670
713,Tarazona,Zaragoza,10667
714,Fortuna,Murcia,10665
715,Tafalla,Navarre,10646
716,Sedaví,Valencia,10637
717,Sant Andreu de Llavaneres,Cataluña,10590
718,Ordizia,Gipuzkoa,10580
719,Alcácer,Valencia,10575
720,Calonge,Cataluña,10541
721,Alcora,Castellón,10526
722,Garrucha,Almería,10525
723,La Roca del Vallès,Cataluña,10518
724,Gelves,Seville,10491
725,Pego,Alicante,10485
726,Alhendín,Granada,10424
727,Aller,Asturias,10413
728,Brunete,Madrid,10373
729,Vilanova de Arousa,Pontevedra,10352
730,Villacarrillo,Jaén,10329
731,Talayuela,Cáceres,10328
732,Premià de Dalt,Cataluña,10311
733,Oiartzun,Gipuzkoa,10310
734,Carreño,Asturias,10301
735,Amurrio,Álava,10299
736,Astorga,León,10292
737,Alcaudete,Jaén,10286
738,Gozón,Asturias,10282
